Zero-128x6-128x64,0.092
Conv-128x6-128x64-kernel:3-stride:1-dilation:1,0.046
Conv-128x6-128x64-kernel:5-stride:1-dilation:1,0.035
Conv-128x6-128x64-kernel:7-stride:1-dilation:1,0.039
Conv-128x6-128x64-kernel:9-stride:1-dilation:1,0.037
DilatedConv-128x6-128x64-kernel:3-stride:1-dilation:2,0.026
DilatedConv-128x6-128x64-kernel:5-stride:1-dilation:2,0.022
DilatedConv-128x6-128x64-kernel:7-stride:1-dilation:2,0.021
DilatedConv-128x6-128x64-kernel:9-stride:1-dilation:2,0.021
Zero-43x64-43x64,0.020
Conv-43x64-43x64-kernel:3-stride:1-dilation:1,0.144
Conv-43x64-43x64-kernel:5-stride:1-dilation:1,0.203
Conv-43x64-43x64-kernel:7-stride:1-dilation:1,0.149
Conv-43x64-43x64-kernel:9-stride:1-dilation:1,0.157
DilatedConv-43x64-43x64-kernel:3-stride:1-dilation:2,0.033
DilatedConv-43x64-43x64-kernel:5-stride:1-dilation:2,0.034
DilatedConv-43x64-43x64-kernel:7-stride:1-dilation:2,0.038
DilatedConv-43x64-43x64-kernel:9-stride:1-dilation:2,0.044
Zero-15x64-15x64,0.040
Conv-15x64-15x64-kernel:3-stride:1-dilation:1,0.198
Conv-15x64-15x64-kernel:5-stride:1-dilation:1,0.181
Conv-15x64-15x64-kernel:7-stride:1-dilation:1,0.196
Conv-15x64-15x64-kernel:9-stride:1-dilation:1,0.205
DilatedConv-15x64-15x64-kernel:3-stride:1-dilation:2,0.065
DilatedConv-15x64-15x64-kernel:5-stride:1-dilation:2,0.076
DilatedConv-15x64-15x64-kernel:7-stride:1-dilation:2,0.094
DilatedConv-15x64-15x64-kernel:9-stride:1-dilation:2,0.106
Logit-320-512,0.022
Logit-512-6,0.022